Time,PPG
19.22,-0.097339259
19.23,-0.09629945
19.25,-0.106818121
19.27,-0.125311686
19.28,-0.131874757
19.30,-0.141172333
19.31,-0.152143245
19.33,-0.157160785
19.34,-0.158304597
19.36,-0.167556114
19.38,-0.174512826
19.39,-0.18038378
19.41,-0.189354892
19.42,-0.194832143
19.44,-0.18296159
19.45,-0.145534377
19.47,-0.101947536
19.48,-0.012140381
19.50,0.090136657
19.52,0.108101878
19.53,0.130989718
19.55,0.218465476
19.56,0.239766629
19.58,0.238492819
19.59,0.237562573
19.61,0.221020524
19.63,0.214526156
19.64,0.214430205
19.66,0.205328784
19.67,0.197980165
19.69,0.190756236
19.70,0.182244885
19.72,0.157118268
19.73,0.151268864
19.75,0.150997855
19.77,0.146654878
19.78,0.142057916
19.80,0.130415856
19.81,0.11687579
19.83,0.092670037
19.84,0.076120034
19.86,0.056581386
19.88,0.036887782
19.89,0.024460518
19.91,0.016207814
19.92,-0.001322141
19.94,-0.012929898
19.95,-0.026155393
19.97,-0.03721797
19.98,-0.048233136
20.00,-0.060872366
20.02,-0.065120745
20.03,-0.067682355
20.05,-0.070845943
20.06,-0.076766296
20.08,-0.092720895
20.09,-0.09940796
20.11,-0.119308969
20.13,-0.135081174
20.14,-0.14084165
20.16,-0.139606465
20.17,-0.143731089
20.19,-0.15840151
20.20,-0.163055136
20.22,-0.170104932
20.23,-0.172205785
20.25,-0.176669553
20.27,-0.183658503
20.28,-0.184015852
20.30,-0.175913141
20.31,-0.170904893
20.33,-0.165945522
20.34,-0.141158293
20.36,-0.08553131
20.38,-0.019494541
20.39,0.050901401
20.41,0.125957526
20.42,0.187466199
20.44,0.232451388
20.45,0.259087185
20.47,0.264994837
20.48,0.273302908
20.50,0.263409017
20.52,0.246402298
20.53,0.243195318
20.55,0.230978023
20.56,0.2295323
20.58,0.222281231
20.59,0.214223051
20.61,0.193262305
20.63,0.169836557
20.64,0.163131941
20.66,0.147433612
20.67,0.119563794
20.69,0.106253314
